record,experimental.condition,region,working.pattern,positive.callback,positive.callback.alt,other.further.stage,negative.response,negative.or.no.response,response,female.dominated,high.skill,salary,missing.salary
SW,2,south west,Part-time,1,1,0,0,0,Invitation to interview,1,0,28687.5,0
PM,4,other,Not stated,0,0,0,1,1,Rejection,0,1,32000,0
AA,4,london,Full-time,0,0,0,0,0,Other outcome,1,0,NA,1
CC,2,south west,Not stated,1,1,0,0,0,Invitation to interview,1,0,17600,0
WO,2,east midlands,Full-time,0,0,0,0,1,No response,0,0,NA,1
HR,1,london,Not stated,0,0,0,1,1,Rejection,1,1,NA,1
WO,3,north west,Full-time,0,0,0,0,1,No response,0,0,NA,1
PM,4,scotland,Full-time,1,0,1,0,0,Other further stage,0,1,50000,0
HR,1,east,Full-time,0,0,0,0,0,Actionable request for further information,1,1,52500,0
SE,2,south east,Not stated,1,0,1,0,0,Other further stage,0,1,NA,1
SW,2,yorkshire & humber,Other,1,1,0,0,0,Invitation to interview,1,0,16200,0
WO,4,east,Full-time,0,0,0,0,1,No response,0,0,18500,0
SE,2,east,Full-time,1,0,1,0,0,Other further stage,0,1,NA,1
SW,3,yorkshire & humber,Not stated,0,0,0,0,1,No response,1,0,NA,1
AA,2,north west,Full-time,0,0,0,0,1,No response,1,0,19000,0
CC,4,north east,Not stated,0,0,0,0,1,No response,1,0,20000,0
CC,2,south west,Other,0,0,0,0,1,No response,1,0,NA,1
SW,1,west midlands,Full-time,1,0,1,0,0,Other further stage,1,0,NA,1
WO,4,north west,Full-time,0,0,0,0,1,No response,0,0,NA,1
PM,4,scotland,Full-time,1,1,0,0,0,Invitation to interview,0,1,NA,1
CC,2,south east,Full-time,1,0,1,0,0,Other further stage,1,0,NA,1
CC,3,west midlands,Full-time,0,0,0,0,0,Other outcome,1,0,16500,0
SW,3,south west,Part-time,1,0,1,0,0,Other further stage,1,0,20000,0
CC,1,yorkshire & humber,Full-time,0,0,0,0,0,Other outcome,1,0,18000,0
WO,1,south west,Other,0,0,0,0,1,No response,0,0,18900,0
HR,2,south east,Not stated,0,0,0,1,1,Rejection,1,1,NA,1
WO,1,north west,Full-time,0,0,0,0,1,No response,0,0,15840,0
FM,2,east,Full-time,1,0,1,0,0,Other further stage,0,1,34000,0
SE,1,north west,Not stated,0,0,0,1,1,Rejection,0,1,42500,0
SE,3,north west,Full-time,1,0,1,0,0,Other further stage,0,1,38000,0
CC,3,yorkshire & humber,Other,0,0,0,1,1,Rejection,1,0,20000,0
SW,2,wales,Part-time,1,1,0,0,0,Invitation to interview,1,0,NA,1
WO,1,north west,Full-time,0,0,0,0,1,No response,0,0,15984,0
WO,3,south west,Full-time,0,0,0,0,0,Other outcome,0,0,19000,0
SW,4,east,Not stated,0,0,0,0,1,No response,1,0,NA,1
PM,2,north east,Not stated,0,0,0,0,1,No response,0,1,NA,1
CC,1,north west,Full-time,0,0,0,0,1,No response,1,0,24750,0
PM,2,north west,Full-time,0,0,0,0,1,No response,0,1,NA,1
PM,2,north west,Full-time,0,0,0,0,1,No response,0,1,26000,0
AA,1,south east,Part-time,0,0,0,0,0,Other outcome,1,0,14850,0
SE,1,yorkshire & humber,Full-time,0,0,0,0,0,Not actionable request for further information,0,1,NA,1
WO,3,east,Part-time,0,0,0,1,1,Rejection,0,0,NA,1
SW,3,east midlands,Part-time,1,1,0,0,0,Invitation to interview,1,0,15975,0
AA,2,london,Full-time,0,0,0,1,1,Rejection,1,0,19500,0
CC,3,south west,Full-time,1,0,1,0,0,Other further stage,1,0,22500,0
WO,1,yorkshire & humber,Full-time,0,0,0,0,1,No response,0,0,15750,0
SW,4,wales,Part-time,1,0,1,0,0,Other further stage,1,0,NA,1
SE,4,london,Full-time,1,1,0,0,0,Invitation to interview,0,1,45000,0
HR,3,london,Not stated,1,0,1,0,0,Other further stage,1,1,42500,0
PM,2,yorkshire & humber,Full-time,0,0,0,0,1,No response,0,1,35000,0
CC,4,yorkshire & humber,Full-time,0,0,0,0,1,No response,1,0,26000,0
HR,2,west midlands,Not stated,0,0,0,1,1,Rejection,1,1,NA,1
WO,2,yorkshire & humber,Full-time,0,0,0,0,1,No response,0,0,NA,1
AA,2,east,Part-time,0,0,0,1,1,Rejection,1,0,15750,0
AA,1,south west,Full-time,0,0,0,0,1,No response,1,0,NA,1
SW,2,north east,Part-time,0,0,0,0,0,Not actionable request for further information,1,0,18000,0
FM,4,london,Full-time,0,0,0,0,1,No response,0,1,43000,0
AA,3,yorkshire & humber,Part-time,0,0,0,0,1,No response,1,0,18000,0
PM,1,yorkshire & humber,Full-time,0,0,0,0,1,No response,0,1,NA,1
AA,1,south east,Full-time,0,0,0,0,1,No response,1,0,18500,0
AA,2,south east,Part-time,0,0,0,0,1,No response,1,0,17100,0
AA,4,south east,Part-time,0,0,0,1,1,Rejection,1,0,18000,0
CC,1,yorkshire & humber,Other,1,0,1,0,0,Other further stage,1,0,19995,0
HR,4,london,Not stated,0,0,0,0,1,No response,1,1,NA,1
HR,1,west midlands,Part-time,1,0,1,0,0,Other further stage,1,1,34000,0
PM,2,south east,Full-time,1,0,1,0,0,Other further stage,0,1,55000,0
AA,3,yorkshire & humber,Full-time,0,0,0,0,1,No response,1,0,NA,1
AA,1,yorkshire & humber,Full-time,0,0,0,1,1,Rejection,1,0,NA,1
CC,1,north east,Full-time,0,0,0,0,1,No response,1,0,NA,1
SW,1,north west,Not stated,1,0,1,0,0,Other further stage,1,0,21390,0
SW,4,east,Full-time,1,1,0,0,0,Invitation to interview,1,0,17415,0
AA,4,east,Full-time,1,0,1,0,0,Other further stage,1,0,NA,1
WO,2,west midlands,Full-time,0,0,0,0,0,Other outcome,0,0,15489,0
SW,3,yorkshire & humber,Full-time,0,0,0,0,1,No response,1,0,NA,1
AA,4,scotland,Full-time,0,0,0,0,1,No response,1,0,NA,1
FM,3,east,Full-time,1,1,0,0,0,Invitation to interview,0,1,NA,1
SW,3,south east,Other,1,0,1,0,0,Other further stage,1,0,16965,0
WO,4,east,Full-time,0,0,0,1,1,Rejection,0,0,NA,1
PM,4,south east,Full-time,0,0,0,0,1,No response,0,1,32500,0
AA,2,east,Full-time,1,1,0,0,0,Invitation to interview,1,0,19000,0
FM,4,wales,Part-time,1,0,1,0,0,Other further stage,0,1,NA,1
PM,4,west midlands,Not stated,0,0,0,1,1,Rejection,0,1,NA,1
WO,1,north west,Full-time,0,0,0,0,1,No response,0,0,NA,1
WO,3,west midlands,Full-time,0,0,0,0,0,Not actionable request for further information,0,0,18720,0
AA,2,london,Full-time,0,0,0,0,1,No response,1,0,16200,0
CC,1,east,Full-time,0,0,0,0,1,No response,1,0,NA,1
PM,4,east,Not stated,0,0,0,1,1,Rejection,0,1,NA,1
SE,1,south west,Not stated,0,0,0,0,0,Other outcome,0,1,NA,1
HR,1,london,Not stated,0,0,0,0,0,Other outcome,1,1,NA,1
SW,2,south west,Part-time,1,0,1,0,0,Other further stage,1,0,18000,0
SE,4,scotland,Not stated,0,0,0,0,0,Other outcome,0,1,NA,1
WO,4,london,Full-time,0,0,0,0,1,No response,0,0,20000,0
PM,1,west midlands,Not stated,0,0,0,0,1,No response,0,1,70000,0
PM,4,west midlands,Full-time,0,0,0,0,1,No response,0,1,NA,1
PM,3,north west,Not stated,0,0,0,0,1,No response,0,1,NA,1
CC,4,west midlands,Other,0,0,0,0,0,Other outcome,1,0,15300,0
PM,1,east,Full-time,0,0,0,0,1,No response,0,1,NA,1
SW,1,east,Not stated,1,1,0,0,0,Invitation to interview,1,0,18000,0
WO,4,yorkshire & humber,Full-time,0,0,0,0,1,No response,0,0,NA,1
PM,4,south east,Not stated,0,0,0,1,1,Rejection,0,1,NA,1
WO,2,east,Full-time,0,0,0,0,1,No response,0,0,22000,0
AA,1,west midlands,Full-time,0,0,0,0,1,No response,1,0,NA,1
AA,4,east,Full-time,0,0,0,0,1,No response,1,0,16000,0
SE,3,london,Not stated,1,1,0,0,0,Invitation to interview,0,1,27000,0
PM,2,south east,Full-time,0,0,0,0,1,No response,0,1,NA,1
AA,3,north west,Full-time,0,0,0,0,0,Not actionable request for further information,1,0,19000,0
AA,1,scotland,Full-time,0,0,0,1,1,Rejection,1,0,NA,1
WO,2,london,Part-time,1,1,0,0,0,Invitation to interview,0,0,16200,0
SW,1,london,Not stated,0,0,0,0,1,No response,1,0,22066,0
FM,3,north west,Part-time,1,0,1,0,0,Other further stage,0,1,NA,1
SE,3,london,Full-time,1,1,0,0,0,Invitation to interview,0,1,NA,1
PM,3,south east,Full-time,0,0,0,0,1,No response,0,1,40000,0
AA,1,south west,Full-time,0,0,0,0,0,Other outcome,1,0,NA,1
WO,4,north west,Full-time,0,0,0,0,1,No response,0,0,NA,1
WO,1,london,Full-time,1,1,0,0,0,Invitation to interview,0,0,14319,0
SW,2,east,Part-time,1,1,0,0,0,Invitation to interview,1,0,17725,0
WO,4,west midlands,Full-time,0,0,0,0,0,Not actionable request for further information,0,0,NA,1
PM,4,yorkshire & humber,Full-time,1,1,0,0,0,Invitation to interview,0,1,NA,1
PM,1,london,Full-time,0,0,0,0,1,No response,0,1,75000,0
WO,4,yorkshire & humber,Full-time,0,0,0,0,1,No response,0,0,NA,1
WO,1,north west,Full-time,0,0,0,0,0,Other outcome,0,0,21500,0
PM,4,east,Full-time,1,0,1,0,0,Other further stage,0,1,NA,1
PM,3,south east,Full-time,1,1,0,0,0,Invitation to interview,0,1,NA,1
PM,3,south east,Not stated,0,0,0,0,1,No response,0,1,35000,0
AA,1,north west,Part-time,0,0,0,0,1,No response,1,0,NA,1
FM,2,london,Not stated,0,0,0,0,1,No response,0,1,NA,1
WO,3,yorkshire & humber,Full-time,0,0,0,0,1,No response,0,0,NA,1
WO,4,south east,Part-time,0,0,0,0,1,No response,0,0,16200,0
AA,4,east,Other,0,0,0,0,1,No response,1,0,NA,1
HR,4,london,Full-time,1,1,0,0,0,Invitation to interview,1,1,32500,0
FM,2,london,Full-time,0,0,0,0,1,No response,0,1,50000,0
SW,2,south east,Full-time,1,0,1,0,0,Other further stage,1,0,15750,0
SE,4,london,Not stated,1,0,1,0,0,Other further stage,0,1,NA,1
CC,2,north west,Part-time,1,1,0,0,0,Invitation to interview,1,0,20500,0
SE,4,south east,Full-time,1,1,0,0,0,Invitation to interview,0,1,85000,0
HR,2,london,Not stated,0,0,0,1,1,Rejection,1,1,NA,1
HR,1,north east,Not stated,1,1,0,0,0,Invitation to interview,1,1,40860,0
WO,3,east midlands,Not stated,1,0,1,0,0,Other further stage,0,0,16200,0
HR,3,london,Full-time,0,0,0,0,1,No response,1,1,50000,0
SW,2,north west,Other,1,1,0,0,0,Invitation to interview,1,0,19242,0
CC,4,east,Full-time,1,1,0,0,0,Invitation to interview,1,0,16200,0
SE,2,other,Full-time,0,0,0,1,1,Rejection,0,1,NA,1
HR,3,south west,Not stated,0,0,0,0,1,No response,1,1,NA,1
SW,1,west midlands,Full-time,0,0,0,0,0,Other outcome,1,0,16200,0
SW,4,wales,Full-time,1,0,1,0,0,Other further stage,1,0,14778,0
HR,4,south west,Full-time,1,1,0,0,0,Invitation to interview,1,1,55000,0
AA,2,west midlands,Full-time,0,0,0,1,1,Rejection,1,0,14868,0
HR,4,north west,Full-time,1,0,1,0,0,Other further stage,1,1,36000,0
FM,2,london,Full-time,0,0,0,0,1,No response,0,1,35000,0
FM,2,south east,Full-time,0,0,0,0,1,No response,0,1,50000,0
WO,2,north west,Full-time,0,0,0,0,1,No response,0,0,NA,1
AA,3,north east,Full-time,0,0,0,0,1,No response,1,0,NA,1
SE,2,london,Full-time,1,1,0,0,0,Invitation to interview,0,1,NA,1
SW,4,south west,Part-time,1,0,1,0,0,Other further stage,1,0,19800,0
HR,3,london,Full-time,0,0,0,0,0,Not actionable request for further information,1,1,39000,0
SE,1,london,Full-time,1,1,0,0,0,Invitation to interview,0,1,38500,0
SE,2,london,Full-time,0,0,0,0,1,No response,0,1,NA,1
HR,1,london,Not stated,0,0,0,1,1,Rejection,1,1,NA,1
AA,4,west midlands,Full-time,0,0,0,0,1,No response,1,0,18000,0
CC,3,london,Other,0,0,0,0,1,No response,1,0,18000,0
SW,2,south east,Other,1,0,1,0,0,Other further stage,1,0,NA,1
SW,3,south east,Other,1,0,1,0,0,Other further stage,1,0,20700,0
AA,3,yorkshire & humber,Full-time,0,0,0,0,1,No response,1,0,NA,1
PM,4,south west,Not stated,0,0,0,0,1,No response,0,1,NA,1
FM,4,east,Not stated,0,0,0,0,1,No response,0,1,NA,1
HR,4,east,Full-time,1,0,1,0,0,Other further stage,1,1,NA,1
SW,4,yorkshire & humber,Not stated,0,0,0,0,1,No response,1,0,38700,0
FM,3,london,Full-time,0,0,0,0,1,No response,0,1,37500,0
WO,2,north west,Full-time,0,0,0,0,0,Other outcome,0,0,14778,0
SW,2,west midlands,Full-time,1,1,0,0,0,Invitation to interview,1,0,20750,0
SW,2,south east,Full-time,0,0,0,0,1,No response,1,0,16200,0
SW,1,south east,Part-time,1,0,1,0,0,Other further stage,1,0,NA,1
WO,2,yorkshire & humber,Not stated,0,0,0,0,1,No response,0,0,NA,1
SE,4,east,Full-time,1,0,1,0,0,Other further stage,0,1,45000,0
PM,3,south east,Not stated,0,0,0,0,1,No response,0,1,NA,1
AA,2,london,Full-time,0,0,0,0,0,Other outcome,1,0,22000,0
PM,3,west midlands,Not stated,0,0,0,0,1,No response,0,1,NA,1
HR,1,east,Not stated,0,0,0,0,1,No response,1,1,48500,0
WO,3,yorkshire & humber,Full-time,0,0,0,0,1,No response,0,0,16200,0
PM,4,south west,Not stated,0,0,0,1,1,Rejection,0,1,NA,1
WO,2,west midlands,Full-time,0,0,0,0,0,Other outcome,0,0,23400,0
SE,3,scotland,Not stated,0,0,0,1,1,Rejection,0,1,NA,1
FM,4,east midlands,Full-time,1,1,0,0,0,Invitation to interview,0,1,NA,1
WO,3,london,Full-time,0,0,0,0,1,No response,0,0,17892,0
SW,4,east midlands,Part-time,1,0,1,0,0,Other further stage,1,0,15300,0
HR,4,london,Full-time,1,1,0,0,0,Invitation to interview,1,1,NA,1
HR,3,other,Full-time,0,0,0,0,1,No response,1,1,40000,0
SW,2,east midlands,Not stated,0,0,0,0,1,No response,1,0,16200,0
SE,3,south east,Not stated,1,1,0,0,0,Invitation to interview,0,1,NA,1
SW,1,south east,Other,1,0,1,0,0,Other further stage,1,0,16650,0
CC,4,south east,Full-time,1,1,0,0,0,Invitation to interview,1,0,NA,1
CC,4,london,Not stated,0,0,0,0,1,No response,1,0,18900,0
SE,4,scotland,Full-time,1,1,0,0,0,Invitation to interview,0,1,NA,1
WO,4,scotland,Full-time,0,0,0,0,1,No response,0,0,NA,1
SE,1,north east,Not stated,0,0,0,0,1,No response,0,1,NA,1
HR,2,london,Full-time,1,0,1,0,0,Other further stage,1,1,NA,1
WO,3,london,Full-time,0,0,0,0,1,No response,0,0,17300,0
FM,4,east midlands,Part-time,1,0,1,0,0,Other further stage,0,1,45000,0
SW,4,north west,Other,0,0,0,0,0,Actionable request for further information,1,0,16200,0
HR,3,east,Full-time,1,1,0,0,0,Invitation to interview,1,1,NA,1
FM,3,london,Full-time,0,0,0,0,1,No response,0,1,104062.5,0
FM,4,south west,Part-time,1,0,1,0,0,Other further stage,0,1,NA,1
HR,1,north west,Not stated,1,0,1,0,0,Other further stage,1,1,38500,0
SW,2,yorkshire & humber,Full-time,0,0,0,0,1,No response,1,0,17250,0
WO,2,yorkshire & humber,Full-time,0,0,0,0,1,No response,0,0,15300,0
PM,3,south east,Full-time,0,0,0,0,1,No response,0,1,NA,1
FM,4,east,Full-time,0,0,0,0,1,No response,0,1,40000,0
SW,1,north west,Part-time,1,1,0,0,0,Invitation to interview,1,0,16200,0
SE,3,london,Not stated,1,0,1,0,0,Other further stage,0,1,NA,1
FM,3,london,Not stated,0,0,0,0,1,No response,0,1,NA,1
SE,4,scotland,Not stated,1,0,1,0,0,Other further stage,0,1,NA,1
PM,4,wales,Full-time,0,0,0,0,1,No response,0,1,NA,1
HR,3,london,Not stated,0,0,0,0,1,No response,1,1,NA,1
CC,1,north west,Other,0,0,0,0,1,No response,1,0,NA,1
AA,3,london,Not stated,0,0,0,0,1,No response,1,0,NA,1
FM,4,west midlands,Full-time,0,0,0,1,1,Rejection,0,1,NA,1
SW,2,west midlands,Full-time,1,1,0,0,0,Invitation to interview,1,0,17775,0
PM,2,london,Not stated,0,0,0,0,1,No response,0,1,40000,0
SW,2,east,Full-time,1,1,0,0,0,Invitation to interview,1,0,18000,0
SW,3,london,Full-time,1,0,1,0,0,Other further stage,1,0,21798,0
SE,4,west midlands,Not stated,0,0,0,0,1,No response,0,1,NA,1
HR,3,london,Full-time,0,0,0,0,1,No response,1,1,NA,1
WO,4,south west,Full-time,1,1,0,0,0,Invitation to interview,0,0,NA,1
SW,2,east,Full-time,0,0,0,0,1,No response,1,0,NA,1
SE,3,south east,Full-time,1,0,1,0,0,Other further stage,0,1,60000,0
WO,3,north west,Not stated,0,0,0,0,1,No response,0,0,NA,1
FM,3,london,Full-time,0,0,0,0,1,No response,0,1,65000,0
PM,2,north west,Full-time,1,0,1,0,0,Other further stage,0,1,NA,1
WO,4,south west,Full-time,1,0,1,0,0,Other further stage,0,0,NA,1
WO,1,west midlands,Full-time,0,0,0,0,1,No response,0,0,NA,1
AA,4,west midlands,Full-time,0,0,0,0,0,Not actionable request for further information,1,0,NA,1
SE,1,scotland,Not stated,1,1,0,0,0,Invitation to interview,0,1,NA,1
SE,2,wales,Full-time,0,0,0,0,0,Not actionable request for further information,0,1,39500,0
SE,2,south west,Full-time,1,1,0,0,0,Invitation to interview,0,1,25000,0
FM,4,other,Other,0,0,0,1,1,Rejection,0,1,NA,1
HR,1,south east,Not stated,0,0,0,0,1,No response,1,1,NA,1
AA,3,south east,Full-time,0,0,0,1,1,Rejection,1,0,NA,1
FM,3,london,Full-time,0,0,0,0,1,No response,0,1,NA,1
SW,2,west midlands,Other,0,0,0,0,1,No response,1,0,15228,0
PM,3,east midlands,Not stated,1,1,0,0,0,Invitation to interview,0,1,NA,1
CC,1,south east,Full-time,1,1,0,0,0,Invitation to interview,1,0,19500,0
PM,4,west midlands,Full-time,0,0,0,0,0,Other outcome,0,1,NA,1
SW,2,west midlands,Other,1,1,0,0,0,Invitation to interview,1,0,16578,0
FM,3,south east,Full-time,0,0,0,0,1,No response,0,1,47500,0
SE,3,london,Not stated,0,0,0,0,1,No response,0,1,NA,1
WO,1,north east,Full-time,0,0,0,0,1,No response,0,0,NA,1
PM,1,west midlands,Not stated,0,0,0,0,1,No response,0,1,28000,0
PM,1,west midlands,Full-time,0,0,0,0,1,No response,0,1,NA,1
PM,2,south east,Full-time,1,0,1,0,0,Other further stage,0,1,47500,0
PM,4,south east,Not stated,0,0,0,1,1,Rejection,0,1,NA,1
WO,3,west midlands,Part-time,1,0,1,0,0,Other further stage,0,0,NA,1
SW,3,west midlands,Part-time,1,1,0,0,0,Invitation to interview,1,0,NA,1
SE,1,london,Full-time,1,1,0,0,0,Invitation to interview,0,1,NA,1
CC,4,wales,Part-time,1,1,0,0,0,Invitation to interview,1,0,NA,1
AA,4,wales,Full-time,1,0,1,0,0,Other further stage,1,0,NA,1
SE,4,south east,Full-time,1,1,0,0,0,Invitation to interview,0,1,30000,0
HR,3,london,Full-time,0,0,0,0,1,No response,1,1,NA,1
HR,4,west midlands,Full-time,0,0,0,0,1,No response,1,1,NA,1
WO,3,east midlands,Full-time,0,0,0,0,1,No response,0,0,NA,1
WO,4,west midlands,Full-time,0,0,0,0,1,No response,0,0,16164,0
FM,3,north west,Full-time,0,0,0,0,1,No response,0,1,NA,1
WO,4,south west,Full-time,1,1,0,0,0,Invitation to interview,0,0,NA,1
PM,3,south east,Full-time,0,0,0,0,1,No response,0,1,40000,0
FM,4,london,Full-time,1,0,1,0,0,Other further stage,0,1,NA,1
HR,1,london,Not stated,0,0,0,1,1,Rejection,1,1,NA,1
HR,2,south east,Not stated,0,0,0,0,1,No response,1,1,NA,1
WO,4,north west,Full-time,0,0,0,0,1,No response,0,0,16524,0
SW,1,north west,Full-time,0,0,0,0,1,No response,1,0,14850,0
SW,4,south east,Full-time,1,0,1,0,0,Other further stage,1,0,21500,0
CC,1,east,Not stated,0,0,0,0,1,No response,1,0,NA,1
CC,1,east,Other,0,0,0,1,1,Rejection,1,0,20500,0
FM,3,london,Full-time,0,0,0,0,1,No response,0,1,39000,0
PM,4,yorkshire & humber,Full-time,0,0,0,1,1,Rejection,0,1,NA,1
PM,4,south east,Full-time,1,0,1,0,0,Other further stage,0,1,NA,1
PM,2,scotland,Not stated,0,0,0,1,1,Rejection,0,1,NA,1
SW,2,east,Part-time,0,0,0,0,0,Not actionable request for further information,1,0,21600,0
WO,3,yorkshire & humber,Full-time,1,0,1,0,0,Other further stage,0,0,16848,0
PM,2,west midlands,Not stated,0,0,0,0,0,Other outcome,0,1,NA,1
SW,4,yorkshire & humber,Part-time,0,0,0,0,1,No response,1,0,14778,0
CC,1,south west,Full-time,1,0,1,0,0,Other further stage,1,0,20000,0
FM,4,north west,Part-time,0,0,0,0,1,No response,0,1,40000,0
SW,4,east,Part-time,0,0,0,0,0,Not actionable request for further information,1,0,17100,0
AA,1,east,Full-time,0,0,0,0,1,No response,1,0,15461,0
SW,1,north west,Part-time,0,0,0,0,0,Not actionable request for further information,1,0,16038,0
FM,4,east midlands,Full-time,0,0,0,0,0,Other outcome,0,1,NA,1
